,date,ati,quarantine,isolation,tests,confirmed,recovered,deaths
0,2020-04-02,78,0,114699.0,28483.0,2738.0,267,94.0
1,2020-04-03,83,0,114646.0,31657.0,3183.0,283,116.0
2,2020-04-04,119,0,113449.0,36092.0,3613.0,329,141.0
3,2020-04-05,141,0,108810.0,38623.0,3864.0,374,148.0
4,2020-04-06,179,23849,106463.0,40987.0,4057.0,406,157.0
5,2020-04-07,274,25379,91369.0,43578.0,4417.0,460,182.0
6,2020-04-08,162,25556,89976.0,47207.0,4761.0,528,209.0
7,2020-04-09,178,25586,87400.0,51802.0,5202.0,647,229.0
8,2020-04-10,183,25226,77317.0,55430.0,5467.0,729,257.0
9,2020-04-11,208,24984,74233.0,59272.0,5990.0,758,282.0
10,2020-04-12,204,24193,68757.0,62.328,6300.0,852,306.0
11,2020-04-13,231,24020,71293.0,67204.0,6633.0,914,318.0
12,2020-04-14,241,23645,67268.0,70097.0,6879.0,1051,332.0
13,2020-04-15,245,23353,67317.0,74827.0,7216.0,1217,362.0
14,2020-04-16,243,22866,60697.0,79629.0,7707.0,1357,387.0
15,2020-04-17,258,22129,,85805.0,8067.0,1508,400.0
16,2020-04-18,248,19911,47139.0,90991.0,8418.0,1730,417.0
17,2020-04-19,256,17473,47003.0,93611.0,8746.0,1892,434.0
18,2020-04-20,261,14530,42846.0,98491.0,8936.0,2017,451.0
19,2020-04-21,245,13372,41136.0,101552.0,9242.0,2153,482.0
20,2020-04-22,288,12809,40774.0,106357.0,9710.0,2406,508.0
21,2020-04-23,236,12226,28131.0,113336.0,10096.0,2478,527.0
22,2020-04-24,241,12251,27410.0,121602.0,10417.0,2817,552.0
23,2020-04-25,235,12009,26159.0,126645.0,10635.0,2890,575.0
24,2020-04-26,236,11775,24052.0,136518.0,11036.0,3054,608.0
25,2020-04-27,227,11906,23012.0,143834.0,11339.0,3141,631.0
26,2020-04-28,243,11631,22406.0,150309.0,11616.0,3404,650.0
27,2020-04-29,247,12042,22690.0,166993.0,11978.0,3569,675.0
28,2020-04-30,221,12053,22229.0,175374.0,12240.0,4017,695.0
29,2020-05-01,249,12060,20886.0,183688.0,12567.0,4328,726.0
30,2020-05-02,265,13302,20198.0,190540.0,12732.0,4547,755.0
31,2020-05-03,255,13349,20123.0,195508.0,13163.0,4869,780.0
32,2020-05-04,243,12830,20085.0,199068.0,13512.0,5269,803.0
33,2020-05-05,244,12727,19748.0,205842.0,13837.0,5454,827.0
34,2020-05-06,244,13545,20634.0,217139.0,14107.0,5788,858.0
35,2020-05-07,234,14142,20841.0,226613.0,14499.0,6144,876.0
36,2020-05-08,232,14382,20989.0,237280.0,14811.0,6423,898.0
37,2020-05-09,245,14323,20462.0,248056.0,15131.0,6912,926.0
38,2020-05-10,242,14399,19887.0,256749.0,15362.0,7051,952.0
39,2020-05-11,255,14745,19059.0,262219.0,15588.0,7245,972.0
40,2020-05-12,238,14923,19007.0,269183.0,15778.0,7685,991.0
41,2020-05-13,228,14313,18980.0,277804.0,16002.0,7961,1016.0
42,2020-05-14,225,14066,18118.0,286217.0,16247.0,9053,1046.0
43,2020-05-15,219,14441,14791.0,294601.0,16437.0,9370,1056.0
44,2020-05-16,206,13746,14491.0,303734.0,16704.0,9574,1081.0
45,2020-05-17,205,13055,15854.0,310407.0,16871.0,9890,1097.0
46,2020-05-18,193,12351,17797.0,313621.0,17036.0,9930,1001107.0
47,2020-05-19,195,11808,24415.0,322074.0,17191.0,10166,1126.0
48,2020-05-20,198,11050,30645.0,332487.0,17387.0,10356,1141.0
49,2020-05-21,203,9800,39614.0,342466.0,17585.0,10581,1151.0
50,2020-05-22,200,8968,48643.0,352647.0,17712.0,10777,1159.0
51,2020-05-23,196,8239,54974.0,361566.0,17857.0,11187,1170.0
52,2020-05-24,188,6973,60423.0,368482.0,18070.0,11399,1179.0
53,2020-05-25,177,6001,67595.0,377191.0,18283.0,11630,1193.0
54,2020-05-26,181,5287,75782.0,385728.0,18429.0,11874,1210.0
55,2020-05-27,198,4935,82655.0,397563.0,18594.0,12162,1219.0
56,2020-05-28,182,3712,89787.0,410000.0,18791.0,12629,1229.0
57,2020-05-29,182,3371,95176.0,421451.0,18982.0,12829,1240.0
58,2020-05-30,160,2993,98403.0,425819.0,19133.0,13046,1253.0
59,2020-05-31,160,2330,95456.0,439197.0,19257.0,13256,1262.0
60,2020-06-01,159,2424,90292.0,443252.0,19398.0,13426,1270.0
61,2020-06-02,166,2333,90103.0,448813.0,19517.0,13526,1279.0
62,2020-06-03,162,2376,95549.0,459405.0,19669.0,13800,1288.0
63,2020-06-04,0,0,0.0,0.0,0.0,0,0.0
64,2020-06-05,152,2395,95847.0,484782.0,20103.0,14145,1308.0
65,2020-06-06,153,2393,95506.0,496408.0,20290.0,14419,
66,2020-06-07,144,2468,94475.0,503200.0,20479.0,14638,1326.0
67,2020-06-08,146,2113,94405.0,506115.0,20604.0,14826,1334.0
68,2020-06-09,152,2120,96398.0,511295.0,20749.0,14910,1345.0
69,2020-06-10,150,2212,99349.0,520564.0,20945.0,15103,1360.0
